s (1,1) 9
s (2,1) 178
s (3,1) 146
s (4,1) 73
s (5,1) 87
s (6,1) 76
s (7,1) 151
s (8,1) 66
s (9,1) 46
s (10,1) 52
s (11,1) 88
s (12,1) 161
s (13,1) 2
s (14,1) 170
s (15,1) 106
s (16,1) 111
s (17,1) 12
s (18,1) 164
s (19,1) 92
s (20,1) 82
s (21,1) 152
s (22,1) 135
s (23,1) 159
s (24,1) 144
s (25,1) 18
s (26,1) 192
s (27,1) 118
s (28,1) 24
s (29,1) 48
s (30,1) 64
s (31,1) 116
s (32,1) 116
s (33,1) 59
s (34,1) 178
s (35,1) 140
s (36,1) 23
s (37,1) 103
s (38,1) 50
s (39,1) 59
s (40,1) 199
s (41,1) 26
s (42,1) 140
s (43,1) 3
s (44,1) 63
s (45,1) 17
s (46,1) 198
s (47,1) 57
s (48,1) 44
s (49,1) 174
s (50,1) 179
s (51,1) 198
s (52,1) 90
s (53,1) 38
s (54,1) 77
s (55,1) 18
s (56,1) 90
s (57,1) 71
s (58,1) 190
s (59,1) 84
s (60,1) 186
s (61,1) 6
s (62,1) 92
s (63,1) 54
s (64,1) 113
s (65,1) 70
s (66,1) 126
s (67,1) 189
s (68,1) 149
s (69,1) 85
s (70,1) 159
s (71,1) 15
s (72,1) 179
s (73,1) 176
s (74,1) 173
s (75,1) 133
s (76,1) 66
s (77,1) 191
s (78,1) 6
s (79,1) 200
s (80,1) 125
s (81,1) 163
s (82,1) 137
s (83,1) 16
s (84,1) 83
s (85,1) 28
s (86,1) 92
s (87,1) 95
s (88,1) 141
s (89,1) 40
s (90,1) 119
s (91,1) 179
s (92,1) 3
s (93,1) 45
s (94,1) 188
s (95,1) 147
s (96,1) 35
s (97,1) 143
s (98,1) 34
s (99,1) 49
s (100,1) 79
s (101,1) 12
s (102,1) 181
s (103,1) 102
s (104,1) 194
s (105,1) 13
s (106,1) 139
s (107,1) 83
s (108,1) 15
s (109,1) 24
s (110,1) 53
s (111,1) 179
s (112,1) 133
s (113,1) 80
s (114,1) 16
s (115,1) 182
s (116,1) 43
s (117,1) 102
s (118,1) 31
s (119,1) 160
s (120,1) 164
s (121,1) 25
s (122,1) 159
s (123,1) 113
s (124,1) 111
s (125,1) 192
s (126,1) 175
s (127,1) 13
s (128,1) 47
s (129,1) 64
s (130,1) 177
s (131,1) 179
s (132,1) 41
s (133,1) 154
s (134,1) 161
s (135,1) 35
s (136,1) 55
s (137,1) 148
s (138,1) 58
s (139,1) 97
s (140,1) 40
s (141,1) 39
s (142,1) 39
s (143,1) 70
s (144,1) 153
s (145,1) 184
s (146,1) 141
s (147,1) 29
s (148,1) 92
s (149,1) 32
s (150,1) 146
(1,1) (1,2) 11
(2,1) (2,2) 124
(3,1) (3,2) 166
(4,1) (4,2) 57
(5,1) (5,2) 191
(6,1) (6,2) 162
(7,1) (7,2) 125
(8,1) (8,2) 118
(9,1) (9,2) 194
(10,1) (10,2) 159
(11,1) (11,2) 80
(12,1) (12,2) 112
(13,1) (13,2) 144
(14,1) (14,2) 63
(15,1) (15,2) 145
(16,1) (16,2) 152
(17,1) (17,2) 148
(18,1) (18,2) 30
(19,1) (19,2) 17
(20,1) (20,2) 141
(21,1) (21,2) 18
(22,1) (22,2) 138
(23,1) (23,2) 169
(24,1) (24,2) 129
(25,1) (25,2) 141
(26,1) (26,2) 164
(27,1) (27,2) 103
(28,1) (28,2) 115
(29,1) (29,2) 41
(30,1) (30,2) 172
(31,1) (31,2) 61
(32,1) (32,2) 177
(33,1) (33,2) 138
(34,1) (34,2) 192
(35,1) (35,2) 156
(36,1) (36,2) 34
(37,1) (37,2) 180
(38,1) (38,2) 136
(39,1) (39,2) 166
(40,1) (40,2) 198
(41,1) (41,2) 36
(42,1) (42,2) 98
(43,1) (43,2) 56
(44,1) (44,2) 147
(45,1) (45,2) 195
(46,1) (46,2) 77
(47,1) (47,2) 190
(48,1) (48,2) 157
(49,1) (49,2) 179
(50,1) (50,2) 68
(51,1) (51,2) 32
(52,1) (52,2) 72
(53,1) (53,2) 82
(54,1) (54,2) 145
(55,1) (55,2) 98
(56,1) (56,2) 109
(57,1) (57,2) 36
(58,1) (58,2) 171
(59,1) (59,2) 194
(60,1) (60,2) 127
(61,1) (61,2) 5
(62,1) (62,2) 5
(63,1) (63,2) 106
(64,1) (64,2) 153
(65,1) (65,2) 115
(66,1) (66,2) 140
(67,1) (67,2) 198
(68,1) (68,2) 150
(69,1) (69,2) 34
(70,1) (70,2) 5
(71,1) (71,2) 111
(72,1) (72,2) 92
(73,1) (73,2) 25
(74,1) (74,2) 81
(75,1) (75,2) 190
(76,1) (76,2) 29
(77,1) (77,2) 161
(78,1) (78,2) 7
(79,1) (79,2) 156
(80,1) (80,2) 180
(81,1) (81,2) 118
(82,1) (82,2) 100
(83,1) (83,2) 126
(84,1) (84,2) 185
(85,1) (85,2) 70
(86,1) (86,2) 73
(87,1) (87,2) 102
(88,1) (88,2) 113
(89,1) (89,2) 183
(90,1) (90,2) 112
(91,1) (91,2) 20
(92,1) (92,2) 69
(93,1) (93,2) 53
(94,1) (94,2) 44
(95,1) (95,2) 163
(96,1) (96,2) 84
(97,1) (97,2) 73
(98,1) (98,2) 157
(99,1) (99,2) 168
(100,1) (100,2) 48
(101,1) (101,2) 37
(102,1) (102,2) 165
(103,1) (103,2) 118
(104,1) (104,2) 26
(105,1) (105,2) 43
(106,1) (106,2) 194
(107,1) (107,2) 109
(108,1) (108,2) 123
(109,1) (109,2) 62
(110,1) (110,2) 56
(111,1) (111,2) 121
(112,1) (112,2) 105
(113,1) (113,2) 32
(114,1) (114,2) 74
(115,1) (115,2) 102
(116,1) (116,2) 10
(117,1) (117,2) 154
(118,1) (118,2) 69
(119,1) (119,2) 56
(120,1) (120,2) 87
(121,1) (121,2) 194
(122,1) (122,2) 130
(123,1) (123,2) 81
(124,1) (124,2) 40
(125,1) (125,2) 62
(126,1) (126,2) 45
(127,1) (127,2) 36
(128,1) (128,2) 96
(129,1) (129,2) 152
(130,1) (130,2) 78
(131,1) (131,2) 103
(132,1) (132,2) 77
(133,1) (133,2) 50
(134,1) (134,2) 28
(135,1) (135,2) 13
(136,1) (136,2) 78
(137,1) (137,2) 128
(138,1) (138,2) 177
(139,1) (139,2) 137
(140,1) (140,2) 57
(141,1) (141,2) 28
(142,1) (142,2) 150
(143,1) (143,2) 111
(144,1) (144,2) 136
(145,1) (145,2) 197
(146,1) (146,2) 195
(147,1) (147,2) 36
(148,1) (148,2) 191
(149,1) (149,2) 49
(150,1) (150,2) 19
(1,2) (1,3) 190
(2,2) (2,3) 125
(3,2) (3,3) 113
(4,2) (4,3) 58
(5,2) (5,3) 13
(6,2) (6,3) 45
(7,2) (7,3) 100
(8,2) (8,3) 172
(9,2) (9,3) 73
(10,2) (10,3) 32
(11,2) (11,3) 59
(12,2) (12,3) 100
(13,2) (13,3) 173
(14,2) (14,3) 128
(15,2) (15,3) 20
(16,2) (16,3) 133
(17,2) (17,3) 74
(18,2) (18,3) 75
(19,2) (19,3) 19
(20,2) (20,3) 105
(21,2) (21,3) 134
(22,2) (22,3) 18
(23,2) (23,3) 114
(24,2) (24,3) 3
(25,2) (25,3) 163
(26,2) (26,3) 173
(27,2) (27,3) 168
(28,2) (28,3) 75
(29,2) (29,3) 188
(30,2) (30,3) 54
(31,2) (31,3) 96
(32,2) (32,3) 6
(33,2) (33,3) 58
(34,2) (34,3) 30
(35,2) (35,3) 72
(36,2) (36,3) 78
(37,2) (37,3) 29
(38,2) (38,3) 176
(39,2) (39,3) 90
(40,2) (40,3) 45
(41,2) (41,3) 61
(42,2) (42,3) 144
(43,2) (43,3) 72
(44,2) (44,3) 58
(45,2) (45,3) 81
(46,2) (46,3) 62
(47,2) (47,3) 8
(48,2) (48,3) 14
(49,2) (49,3) 62
(50,2) (50,3) 165
(51,2) (51,3) 135
(52,2) (52,3) 190
(53,2) (53,3) 49
(54,2) (54,3) 155
(55,2) (55,3) 194
(56,2) (56,3) 149
(57,2) (57,3) 193
(58,2) (58,3) 189
(59,2) (59,3) 95
(60,2) (60,3) 124
(61,2) (61,3) 59
(62,2) (62,3) 137
(63,2) (63,3) 114
(64,2) (64,3) 105
(65,2) (65,3) 152
(66,2) (66,3) 159
(67,2) (67,3) 4
(68,2) (68,3) 194
(69,2) (69,3) 140
(70,2) (70,3) 12
(71,2) (71,3) 117
(72,2) (72,3) 4
(73,2) (73,3) 141
(74,2) (74,3) 132
(75,2) (75,3) 114
(76,2) (76,3) 84
(77,2) (77,3) 148
(78,2) (78,3) 43
(79,2) (79,3) 122
(80,2) (80,3) 193
(81,2) (81,3) 112
(82,2) (82,3) 97
(83,2) (83,3) 98
(84,2) (84,3) 165
(85,2) (85,3) 13
(86,2) (86,3) 88
(87,2) (87,3) 152
(88,2) (88,3) 150
(89,2) (89,3) 28
(90,2) (90,3) 3
(91,2) (91,3) 149
(92,2) (92,3) 149
(93,2) (93,3) 156
(94,2) (94,3) 180
(95,2) (95,3) 44
(96,2) (96,3) 65
(97,2) (97,3) 46
(98,2) (98,3) 42
(99,2) (99,3) 79
(100,2) (100,3) 57
(101,2) (101,3) 22
(102,2) (102,3) 30
(103,2) (103,3) 200
(104,2) (104,3) 77
(105,2) (105,3) 37
(106,2) (106,3) 48
(107,2) (107,3) 181
(108,2) (108,3) 183
(109,2) (109,3) 44
(110,2) (110,3) 107
(111,2) (111,3) 197
(112,2) (112,3) 68
(113,2) (113,3) 195
(114,2) (114,3) 73
(115,2) (115,3) 199
(116,2) (116,3) 145
(117,2) (117,3) 135
(118,2) (118,3) 68
(119,2) (119,3) 129
(120,2) (120,3) 19
(121,2) (121,3) 17
(122,2) (122,3) 195
(123,2) (123,3) 166
(124,2) (124,3) 7
(125,2) (125,3) 107
(126,2) (126,3) 101
(127,2) (127,3) 81
(128,2) (128,3) 83
(129,2) (129,3) 110
(130,2) (130,3) 77
(131,2) (131,3) 46
(132,2) (132,3) 47
(133,2) (133,3) 200
(134,2) (134,3) 33
(135,2) (135,3) 16
(136,2) (136,3) 51
(137,2) (137,3) 177
(138,2) (138,3) 89
(139,2) (139,3) 173
(140,2) (140,3) 79
(141,2) (141,3) 116
(142,2) (142,3) 9
(143,2) (143,3) 77
(144,2) (144,3) 81
(145,2) (145,3) 34
(146,2) (146,3) 155
(147,2) (147,3) 193
(148,2) (148,3) 118
(149,2) (149,3) 81
(150,2) (150,3) 4
(1,3) (1,4) 185
(2,3) (2,4) 168
(3,3) (3,4) 108
(4,3) (4,4) 33
(5,3) (5,4) 14
(6,3) (6,4) 160
(7,3) (7,4) 133
(8,3) (8,4) 142
(9,3) (9,4) 22
(10,3) (10,4) 97
(11,3) (11,4) 70
(12,3) (12,4) 154
(13,3) (13,4) 165
(14,3) (14,4) 105
(15,3) (15,4) 188
(16,3) (16,4) 67
(17,3) (17,4) 168
(18,3) (18,4) 60
(19,3) (19,4) 116
(20,3) (20,4) 129
(21,3) (21,4) 46
(22,3) (22,4) 94
(23,3) (23,4) 40
(24,3) (24,4) 178
(25,3) (25,4) 7
(26,3) (26,4) 141
(27,3) (27,4) 122
(28,3) (28,4) 162
(29,3) (29,4) 94
(30,3) (30,4) 17
(31,3) (31,4) 73
(32,3) (32,4) 84
(33,3) (33,4) 83
(34,3) (34,4) 161
(35,3) (35,4) 73
(36,3) (36,4) 169
(37,3) (37,4) 41
(38,3) (38,4) 116
(39,3) (39,4) 173
(40,3) (40,4) 67
(41,3) (41,4) 46
(42,3) (42,4) 16
(43,3) (43,4) 192
(44,3) (44,4) 63
(45,3) (45,4) 89
(46,3) (46,4) 162
(47,3) (47,4) 137
(48,3) (48,4) 14
(49,3) (49,4) 29
(50,3) (50,4) 170
(51,3) (51,4) 28
(52,3) (52,4) 86
(53,3) (53,4) 52
(54,3) (54,4) 194
(55,3) (55,4) 92
(56,3) (56,4) 65
(57,3) (57,4) 175
(58,3) (58,4) 68
(59,3) (59,4) 63
(60,3) (60,4) 186
(61,3) (61,4) 1
(62,3) (62,4) 117
(63,3) (63,4) 163
(64,3) (64,4) 103
(65,3) (65,4) 44
(66,3) (66,4) 114
(67,3) (67,4) 164
(68,3) (68,4) 159
(69,3) (69,4) 67
(70,3) (70,4) 149
